subject_id,task,premise_1,premise_2,number_models_generated,std_models_generated,minimum_models_generated,maximum_models_generated,n_samples,n_parameter_sets_used,epsilon,lambda,omega,sigma
64392,4,All B are C,No A are B,2.75,1.8131,2,8,20,1,0.5,4.05,0.6000000000000001,0.1
64434,1,All B are C,No A are C,2.0,0.0,2,2,20,1,0.5,4.05,0.5,0.8
64434,2,All B are C,All A are B,2.4,0.4899,2,3,20,1,0.5,4.05,0.5,0.8
64434,3,All B are C,All A are C,2.75,0.433,2,3,20,1,0.5,4.05,0.5,0.8
64434,4,All B are C,No A are B,6.15,2.1972,2,8,20,1,0.5,4.05,0.5,0.8
64438,1,All B are C,No A are C,2.0,0.0,2,2,20,1,0.5,4.05,0.2,0.9
64438,2,All B are C,All A are B,2.75,0.433,2,3,20,1,0.5,4.05,0.2,0.9
64438,3,All B are C,All A are C,2.85,0.3571,2,3,20,1,0.5,4.05,0.2,0.9
64438,4,All B are C,No A are B,6.65,1.6815,2,8,20,1,0.5,4.05,0.2,0.9
64450,1,All B are C,No A are C,2.0,0.0,2,2,20,1,0.5,4.05,0.5,0.2
64450,2,All B are C,All A are B,2.15,0.3571,2,3,20,1,0.5,4.05,0.5,0.2
64450,3,All B are C,All A are C,2.2,0.4,2,3,20,1,0.5,4.05,0.5,0.2
64450,4,All B are C,No A are B,2.5,1.533,2,8,20,1,0.5,4.05,0.5,0.2
64597,1,All B are C,No A are C,2.0,0.0,2,2,20,1,0.6000000000000001,3.2600000000000002,0.0,0.5
64597,2,All B are C,All A are B,2.3,0.4583,2,3,20,1,0.6000000000000001,3.2600000000000002,0.0,0.5
64597,3,All B are C,All A are C,2.45,0.4975,2,3,20,1,0.6000000000000001,3.2600000000000002,0.0,0.5
64597,4,All B are C,No A are B,4.2,2.2271,2,7,20,1,0.6000000000000001,3.2600000000000002,0.0,0.5
64615,1,All B are C,No A are C,2.0,0.0,2,2,20,1,0.5,4.05,0.5,0.2
64615,2,All B are C,All A are B,2.15,0.3571,2,3,20,1,0.5,4.05,0.5,0.2
64615,3,All B are C,All A are C,2.2,0.4,2,3,20,1,0.5,4.05,0.5,0.2
64615,4,All B are C,No A are B,2.5,1.533,2,8,20,1,0.5,4.05,0.5,0.2
64652,1,All B are C,No A are C,2.0,0.0,2,2,20,1,0.5,4.05,0.2,0.9
64652,2,All B are C,All A are B,2.75,0.433,2,3,20,1,0.5,4.05,0.2,0.9
64652,3,All B are C,All A are C,2.85,0.3571,2,3,20,1,0.5,4.05,0.2,0.9
64652,4,All B are C,No A are B,6.65,1.6815,2,8,20,1,0.5,4.05,0.2,0.9
64685,1,All B are C,No A are C,2.0,0.0,2,2,20,1,0.5,4.05,0.5,0.8
64685,2,All B are C,All A are B,2.4,0.4899,2,3,20,1,0.5,4.05,0.5,0.8
64685,3,All B are C,All A are C,2.75,0.433,2,3,20,1,0.5,4.05,0.5,0.8
64685,4,All B are C,No A are B,6.15,2.1972,2,8,20,1,0.5,4.05,0.5,0.8
64695,1,All B are C,No A are C,2.0,0.0,2,2,20,1,0.5,4.05,0.7000000000000001,0.9
64695,2,All B are C,All A are B,2.5,0.5,2,3,20,1,0.5,4.05,0.7000000000000001,0.9
64695,3,All B are C,All A are C,2.95,0.2179,2,3,20,1,0.5,4.05,0.7000000000000001,0.9
64695,4,All B are C,No A are B,6.6,1.241,2,8,20,1,0.5,4.05,0.7000000000000001,0.9
64707,1,All B are C,No A are C,2.0,0.0,2,2,20,1,0.5,4.05,0.6000000000000001,0.1
64707,2,All B are C,All A are B,2.0,0.0,2,2,20,1,0.5,4.05,0.6000000000000001,0.1
64707,3,All B are C,All A are C,2.1,0.3,2,3,20,1,0.5,4.05,0.6000000000000001,0.1
64707,4,All B are C,No A are B,2.75,1.8131,2,8,20,1,0.5,4.05,0.6000000000000001,0.1
64708,1,All B are C,No A are C,2.0,0.0,2,2,20,1,0.5,4.05,0.2,0.9
64708,2,All B are C,All A are B,2.75,0.433,2,3,20,1,0.5,4.05,0.2,0.9
64708,3,All B are C,All A are C,2.85,0.3571,2,3,20,1,0.5,4.05,0.2,0.9
