subject_id,intuitive_accuracy,reflective_accuracy,mean_for_int,mean_for_ref,mean_rt_int,mean_rt_ref,mean_number_models_generated_int,median_number_models_generated_int,std_number_models_generated_int,minimum_number_models_generated_int,maximum_number_models_generated_int,mean_number_models_generated_ref,median_number_models_generated_ref,std_number_models_generated_ref,minimum_number_models_generated_ref,maximum_number_models_generated_ref,mean_models_change,response_change_rate,mean_accuracy_gain,mean_confidence_change,mean_rt_change,number_of_trials,number_of_task_types,model_group_int,model_group_ref
69663,80.64516129032258,95.16129032258065,49.53225806451613,83.75806451612904,4632.506451608673,6835.26721311788,2.0,2.0,0.0,2,2,3.639784946236559,2.833333333333333,1.9476747026043477,2,8,1.639784946236559,17.741935483870968,0.14516129032258066,34.225806451612904,2220.513114761133,62,4,Gr. 1 (moy ~ 2.00),Gr. 3 (moy ~ 3.64)
69666,48.38709677419355,51.61290322580645,91.2258064516129,90.53225806451613,4210.9209677420795,1072.1344262307791,2.0,2.0,0.0,2,2,3.6236559139784945,2.333333333333333,2.2319781150122004,2,8,1.6236559139784947,3.225806451612903,0.03225806451612903,-0.6935483870967742,-3125.559016392123,62,4,Gr. 1 (moy ~ 2.00),Gr. 3 (moy ~ 3.64)
69668,56.451612903225815,43.54838709677419,62.41935483870968,79.06451612903226,4307.575806456228,5552.11333331267,2.0,2.0,0.0,2,2,2.0860215053763436,2.0,0.14704724431900523,2,3,0.08602150537634412,16.129032258064516,-0.12903225806451613,16.64516129032258,1295.381666644414,62,4,Gr. 1 (moy ~ 2.00),Gr. 1 (moy ~ 2.08)
69670,53.2258064516129,53.2258064516129,85.45161290322581,81.85483870967742,4089.0322580644565,1121.6442622951554,2.0,2.0,0.0,2,2,2.0860215053763436,2.0,0.14704724431900523,2,3,0.08602150537634412,6.451612903225806,0.0,-3.596774193548387,-2933.588524590017,62,4,Gr. 1 (moy ~ 2.00),Gr. 1 (moy ~ 2.08)
69672,53.96825396825397,46.03174603174603,90.39682539682539,94.11111111111111,3715.0968253968235,582.0885245901624,2.0,2.0,0.0,2,2,2.592592592592592,2.333333333333333,0.8391078306235613,2,8,0.5925925925925927,17.46031746031746,-0.07936507936507936,3.7142857142857144,-3244.481967213115,63,4,Gr. 1 (moy ~ 2.00),Gr. 2 (moy ~ 2.52)
69683,95.83333333333334,100.0,76.08333333333333,100.0,4863.187500004968,5362.825000002982,2.0,2.0,0.0,2,2,3.972222222222222,2.833333333333333,2.215266893041876,2,8,1.972222222222222,4.166666666666666,0.041666666666666664,23.916666666666668,499.637499998014,24,4,Gr. 1 (moy ~ 2.00),Gr. 3 (moy ~ 3.64)
69687,56.00000000000001,52.0,67.32,82.26,4063.7920000001786,1483.6000000002232,2.0,2.0,0.0,2,2,2.0866666666666664,2.0,0.14769583256448393,2,3,0.08666666666666671,8.0,-0.04,14.94,-2580.1919999999554,50,4,Gr. 1 (moy ~ 2.00),Gr. 1 (moy ~ 2.08)
69705,48.38709677419355,50.0,99.96774193548387,99.98387096774194,4361.466129032384,1922.9645161290741,2.0,2.0,0.0,2,2,2.5161290322580645,2.6666666666666665,0.558678571527104,2,6,0.5161290322580645,1.6129032258064515,0.016129032258064516,0.016129032258064516,-2438.5016129033097,62,4,Gr. 1 (moy ~ 2.00),Gr. 2 (moy ~ 2.52)
69718,50.0,51.724137931034484,68.82758620689656,72.84482758620689,4390.153448275965,1712.7034482734991,2.0,2.0,0.0,2,2,2.4885057471264362,2.1666666666666665,0.6845995037050595,2,7,0.4885057471264367,15.517241379310345,0.017241379310344827,4.017241379310345,-2677.450000002466,58,4,Gr. 1 (moy ~ 2.00),Gr. 2 (moy ~ 2.52)
69719,96.66666666666667,98.33333333333333,78.26666666666667,92.5,4276.720000002782,3268.6275862003204,2.0,2.0,0.0,2,2,3.6777777777777776,2.833333333333333,1.9667352919815302,2,8,1.6777777777777776,5.0,0.016666666666666666,14.233333333333333,-1010.9017241473853,60,4,Gr. 1 (moy ~ 2.00),Gr. 3 (moy ~ 3.64)
