subject_id,condition,n_trials,n_correct,n_incorrect,accuracy,mean_confidence_probability,calibration_bias,brier_score,type2_auc,mean_confidence_correct,mean_confidence_incorrect,confidence_discrimination
64189,Standard,64,57,7,0.890625,0.6571875,-0.23343749999999996,0.15052500000000002,0.7318295739348372,67.91228070175438,47.857142857142854,20.05513784461153
64222,Standard,64,60,4,0.9375,0.59375,-0.34375,0.269121875,0.33125,58.4,74.0,-15.600000000000001
64258,Neutral,64,41,23,0.640625,0.4978125000000001,-0.1428124999999999,0.24986562499999998,0.5328738069989396,50.292682926829265,48.869565217391305,1.4231177094379603
64270,Neutral,64,58,6,0.90625,0.62484375,-0.28140624999999997,0.16295156249999998,0.8017241379310345,63.94827586206897,48.333333333333336,15.614942528735632
64312,Neutral,64,33,31,0.515625,0.6754687500000001,0.15984375000000006,0.3292171875,0.4652981427174976,66.66666666666667,68.48387096774194,-1.8172043010752645
64363,Neutral,64,33,31,0.515625,0.9823437500000001,0.46671875000000007,0.4659859375,0.5395894428152492,99.87878787878788,96.48387096774194,3.3949169110459394
64369,Standard,64,32,32,0.5,0.97828125,0.47828125,0.4765078125,0.51708984375,98.53125,97.125,1.40625
64386,Standard,64,41,23,0.640625,0.5809374999999999,-0.059687500000000115,0.25027187500000003,0.5784729586426298,59.26829268292683,56.0,3.268292682926827
64388,Standard,64,33,31,0.515625,0.61453125,0.09890624999999997,0.2868015625,0.576735092864125,64.66666666666667,58.03225806451613,6.634408602150543
64392,Neutral,64,38,26,0.59375,0.5032812499999999,-0.0904687500000001,0.24837343750000002,0.5409919028340081,50.421052631578945,50.19230769230769,0.22874493927125172
64438,Standard,64,40,24,0.625,0.6890625,0.06406250000000002,0.21165,0.7125,74.275,59.958333333333336,14.31666666666667
64450,Neutral,64,31,33,0.484375,0.8848437499999999,0.40046874999999993,0.4125640625,0.4305962854349952,88.25806451612904,88.6969696969697,-0.43890518084066343
64615,Standard,64,33,31,0.515625,0.9234375,0.4078125,0.41879687500000007,0.509286412512219,93.03030303030303,91.61290322580645,1.4173998044965828
64652,Neutral,64,62,2,0.96875,0.8678125,-0.10093750000000001,0.0425375,0.8387096774193548,87.06451612903226,78.0,9.064516129032256
64685,Neutral,64,46,18,0.71875,0.79546875,0.07671874999999995,0.3143109375,0.3834541062801933,77.19565217391305,85.55555555555556,-8.35990338164251
64695,Standard,64,34,30,0.53125,0.62734375,0.09609374999999998,0.3150953125,0.45245098039215687,62.529411764705884,62.96666666666667,-0.43725490196078454
64707,Standard,64,30,34,0.46875,0.92421875,0.45546875,0.44731093749999995,0.575,96.63333333333334,88.70588235294117,7.927450980392166
64708,Standard,64,62,2,0.96875,0.9957812500000001,0.027031250000000062,0.0316453125,0.46774193548387094,99.56451612903226,100.0,-0.43548387096774377
64776,Standard,64,36,28,0.5625,0.7468750000000001,0.18437500000000007,0.25400937500000004,0.6959325396825397,78.44444444444444,69.85714285714286,8.587301587301582
64793,Standard,64,34,30,0.53125,0.89109375,0.35984375,0.44469843750000004,0.48382352941176465,88.32352941176471,90.0,-1.67647058823529
64806,Standard,64,32,32,0.5,0.97828125,0.47828125,0.47922343749999996,0.47314453125,99.28125,96.375,2.90625
64843,Standard,64,33,31,0.515625,0.9450000000000001,0.42937500000000006,0.44124687500000004,0.5195503421309873,95.87878787878788,93.03225806451613,2.8465298142717472
64869,Neutral,64,33,31,0.515625,0.66703125,0.15140624999999996,0.2668796875,0.5742913000977516,67.51515151515152,65.83870967741936,1.6764418377321562
64871,Neutral,64,34,30,0.53125,0.6190625000000001,0.08781250000000007,0.29340000000000005,0.41813725490196074,60.38235294117647,63.63333333333333,-3.250980392156862
64882,Standard,64,28,36,0.4375,0.7935937499999999,0.3560937499999999,0.39366718749999996,0.42509920634920634,78.10714285714286,80.33333333333333,-2.2261904761904674
64888,Neutral,64,58,6,0.90625,0.85125,-0.05500000000000005,0.07494687500000001,0.7385057471264368,86.37931034482759,73.0,13.379310344827587
64890,Neutral,64,34,30,0.53125,0.63203125,0.10078125000000004,0.2798515625,0.5416666666666667,64.08823529411765,62.2,1.8882352941176492
64919,Standard,64,51,13,0.796875,0.71046875,-0.08640625000000002,0.18157343750000002,0.45022624434389136,70.66666666666667,72.53846153846153,-1.8717948717948616
64923,Neutral,64,34,30,0.53125,0.77078125,0.23953124999999997,0.33503593750000005,0.48578431372549025,77.44117647058823,76.66666666666667,0.7745098039215605
