subject_id,mean_number_models_generated,std_across_tasks,minimum_across_tasks,maximum_across_tasks,number_of_tasks,epsilon,lambda,omega,sigma
68124,2.6666,0.6086,2.0,3.3333,4,0.6000000000000001,3.2600000000000002,0.0,0.5
68138,2.6666,0.6086,2.0,3.3333,4,0.6000000000000001,3.2600000000000002,0.0,0.5
68193,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
68195,3.3333,2.0548,2.0,6.3333,4,0.5,4.05,0.7000000000000001,0.9
68200,2.6666,0.6086,2.0,3.3333,4,0.6000000000000001,3.2600000000000002,0.0,0.5
68255,2.0833,0.1666,2.0,2.3333,4,0.5,4.05,0.6000000000000001,0.1
68293,2.5833,0.5693,2.0,3.3333,4,0.5,4.05,0.5,0.5
68411,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
68425,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
68426,2.5833,0.5693,2.0,3.3333,4,0.5,4.05,0.5,0.5
68542,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
68549,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
68786,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
68800,2.0833,0.1666,2.0,2.3333,4,0.5,4.05,0.6000000000000001,0.1
68832,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
68850,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
68881,2.5833,0.7391,2.0,3.6667,4,0.5,4.05,0.5,0.2
68882,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
68896,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
68906,2.0833,0.1666,2.0,2.3333,4,0.5,4.05,0.6000000000000001,0.1
68939,2.6666,0.6086,2.0,3.3333,4,0.6000000000000001,3.2600000000000002,0.0,0.5
68987,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
69019,3.3333,2.0548,2.0,6.3333,4,0.5,4.05,0.7000000000000001,0.9
69283,2.0833,0.1666,2.0,2.3333,4,0.5,4.05,0.6000000000000001,0.1
