subject_id,task_type,models_n3,models_n10,models_n20,difference_n10_minus_n3,difference_n20_minus_n3,difference_n20_minus_n10
64652,MT,2.0,2.0,2.0,0.0,0.0,0.0
64685,AC,2.6667,2.9,2.75,0.23329999999999984,0.08329999999999993,-0.1499999999999999
64685,DA,7.3333,5.6,6.15,-1.7333000000000007,-1.1833,0.5500000000000007
64685,MP,2.6667,2.5,2.4,-0.16670000000000007,-0.26670000000000016,-0.10000000000000009
64685,MT,2.0,2.0,2.0,0.0,0.0,0.0
64695,AC,3.0,2.9,2.95,-0.10000000000000009,-0.04999999999999982,0.050000000000000266
64695,DA,6.3333,6.6,6.6,0.26669999999999927,0.26669999999999927,0.0
64695,MP,2.0,2.5,2.5,0.5,0.5,0.0
64695,MT,2.0,2.0,2.0,0.0,0.0,0.0
64707,AC,2.0,2.0,2.1,0.0,0.10000000000000009,0.10000000000000009
64707,DA,2.0,2.9,2.75,0.8999999999999999,0.75,-0.1499999999999999
64707,MP,2.3333,2.2,2.0,-0.13329999999999975,-0.33329999999999993,-0.20000000000000018
64707,MT,2.0,2.0,2.0,0.0,0.0,0.0
64708,AC,3.0,3.0,2.85,0.0,-0.1499999999999999,-0.1499999999999999
64708,DA,5.3333,6.4,6.65,1.0667,1.3167,0.25
64708,MP,2.3333,2.4,2.75,0.06669999999999998,0.41670000000000007,0.3500000000000001
64708,MT,2.0,2.0,2.0,0.0,0.0,0.0
64776,AC,2.0,2.0,2.1,0.0,0.10000000000000009,0.10000000000000009
64776,DA,2.0,2.9,2.75,0.8999999999999999,0.75,-0.1499999999999999
64776,MP,2.3333,2.2,2.0,-0.13329999999999975,-0.33329999999999993,-0.20000000000000018
64776,MT,2.0,2.0,2.0,0.0,0.0,0.0
64793,AC,2.0,2.0,2.1,0.0,0.10000000000000009,0.10000000000000009
64793,DA,2.0,2.9,2.75,0.8999999999999999,0.75,-0.1499999999999999
64793,MP,2.3333,2.2,2.0,-0.13329999999999975,-0.33329999999999993,-0.20000000000000018
64793,MT,2.0,2.0,2.0,0.0,0.0,0.0
64806,AC,3.0,3.0,2.85,0.0,-0.1499999999999999,-0.1499999999999999
64806,DA,5.3333,6.4,6.65,1.0667,1.3167,0.25
64806,MP,2.3333,2.4,2.75,0.06669999999999998,0.41670000000000007,0.3500000000000001
64806,MT,2.0,2.0,2.0,0.0,0.0,0.0
64843,AC,3.0,2.7,2.45,-0.2999999999999998,-0.5499999999999998,-0.25
64843,DA,3.3333,5.1,4.2,1.7666999999999997,0.8667000000000002,-0.8999999999999995
64843,MP,2.3333,2.5,2.3,0.16670000000000007,-0.03330000000000011,-0.20000000000000018
64843,MT,2.0,2.0,2.0,0.0,0.0,0.0
64869,AC,2.0,2.0,2.1,0.0,0.10000000000000009,0.10000000000000009
64869,DA,2.0,2.9,2.75,0.8999999999999999,0.75,-0.1499999999999999
64869,MP,2.3333,2.2,2.0,-0.13329999999999975,-0.33329999999999993,-0.20000000000000018
64869,MT,2.0,2.0,2.0,0.0,0.0,0.0
64871,AC,3.0,2.7,2.45,-0.2999999999999998,-0.5499999999999998,-0.25
64871,DA,3.3333,5.1,4.2,1.7666999999999997,0.8667000000000002,-0.8999999999999995
64871,MP,2.3333,2.5,2.3,0.16670000000000007,-0.03330000000000011,-0.20000000000000018
64871,MT,2.0,2.0,2.0,0.0,0.0,0.0
64882,AC,2.0,2.0,2.1,0.0,0.10000000000000009,0.10000000000000009
64882,DA,2.0,2.9,2.75,0.8999999999999999,0.75,-0.1499999999999999
64882,MP,2.3333,2.2,2.0,-0.13329999999999975,-0.33329999999999993,-0.20000000000000018
64882,MT,2.0,2.0,2.0,0.0,0.0,0.0
64888,AC,3.0,3.0,2.85,0.0,-0.1499999999999999,-0.1499999999999999
64888,DA,5.3333,6.4,6.65,1.0667,1.3167,0.25
64888,MP,2.3333,2.4,2.75,0.06669999999999998,0.41670000000000007,0.3500000000000001
64888,MT,2.0,2.0,2.0,0.0,0.0,0.0
64890,AC,3.0,2.7,2.45,-0.2999999999999998,-0.5499999999999998,-0.25
64890,DA,3.3333,5.1,4.2,1.7666999999999997,0.8667000000000002,-0.8999999999999995
64890,MP,2.3333,2.5,2.3,0.16670000000000007,-0.03330000000000011,-0.20000000000000018
64890,MT,2.0,2.0,2.0,0.0,0.0,0.0
64919,AC,3.0,3.0,2.85,0.0,-0.1499999999999999,-0.1499999999999999
64919,DA,5.3333,6.4,6.65,1.0667,1.3167,0.25
64919,MP,2.3333,2.4,2.75,0.06669999999999998,0.41670000000000007,0.3500000000000001
64919,MT,2.0,2.0,2.0,0.0,0.0,0.0
64923,AC,3.0,2.7,2.45,-0.2999999999999998,-0.5499999999999998,-0.25
