subject_id,task,premise_1,premise_2,number_models_generated,std_models_generated,minimum_models_generated,maximum_models_generated,n_samples,n_parameter_sets_used,epsilon,lambda,omega,sigma,task_type,simulation_setting
64434,3,All B are C,All A are C,2.6667,0.4714,2,3,3,1,0.5,4.05,0.5,0.8,AC,3
64434,4,All B are C,No A are B,7.3333,0.4714,7,8,3,1,0.5,4.05,0.5,0.8,DA,3
64438,1,All B are C,No A are C,2.0,0.0,2,2,3,1,0.5,4.05,0.2,0.9,MT,3
64438,2,All B are C,All A are B,2.3333,0.4714,2,3,3,1,0.5,4.05,0.2,0.9,MP,3
64438,3,All B are C,All A are C,3.0,0.0,3,3,3,1,0.5,4.05,0.2,0.9,AC,3
64438,4,All B are C,No A are B,5.3333,2.357,2,7,3,1,0.5,4.05,0.2,0.9,DA,3
64450,1,All B are C,No A are C,2.0,0.0,2,2,3,1,0.5,4.05,0.5,0.2,MT,3
64450,2,All B are C,All A are B,2.3333,0.4714,2,3,3,1,0.5,4.05,0.5,0.2,MP,3
64450,3,All B are C,All A are C,2.3333,0.4714,2,3,3,1,0.5,4.05,0.5,0.2,AC,3
64450,4,All B are C,No A are B,3.6667,2.357,2,7,3,1,0.5,4.05,0.5,0.2,DA,3
64597,1,All B are C,No A are C,2.0,0.0,2,2,3,1,0.6000000000000001,3.26,0.0,0.5,MT,3
64597,2,All B are C,All A are B,2.3333,0.4714,2,3,3,1,0.6000000000000001,3.26,0.0,0.5,MP,3
64597,3,All B are C,All A are C,3.0,0.0,3,3,3,1,0.6000000000000001,3.26,0.0,0.5,AC,3
64597,4,All B are C,No A are B,3.3333,1.8856,2,6,3,1,0.6000000000000001,3.26,0.0,0.5,DA,3
64615,1,All B are C,No A are C,2.0,0.0,2,2,3,1,0.5,4.05,0.5,0.2,MT,3
64615,2,All B are C,All A are B,2.3333,0.4714,2,3,3,1,0.5,4.05,0.5,0.2,MP,3
64615,3,All B are C,All A are C,2.3333,0.4714,2,3,3,1,0.5,4.05,0.5,0.2,AC,3
64615,4,All B are C,No A are B,3.6667,2.357,2,7,3,1,0.5,4.05,0.5,0.2,DA,3
64652,1,All B are C,No A are C,2.0,0.0,2,2,3,1,0.5,4.05,0.2,0.9,MT,3
64652,2,All B are C,All A are B,2.3333,0.4714,2,3,3,1,0.5,4.05,0.2,0.9,MP,3
64652,3,All B are C,All A are C,3.0,0.0,3,3,3,1,0.5,4.05,0.2,0.9,AC,3
64652,4,All B are C,No A are B,5.3333,2.357,2,7,3,1,0.5,4.05,0.2,0.9,DA,3
64685,1,All B are C,No A are C,2.0,0.0,2,2,3,1,0.5,4.05,0.5,0.8,MT,3
64685,2,All B are C,All A are B,2.6667,0.4714,2,3,3,1,0.5,4.05,0.5,0.8,MP,3
