"sona_id","age","gender","condition","stimulus","type","validity","believability","conflict","qnum","total_qnum","response","correct","rt","logRT","feelingR","rt_for","trial_num","statementEval"
"63884",18,"Female","Neutral","<p>All hirks can walk.</p><p>Whales are hirks.</p>","MP","Valid","Unbelievable","Conflict","1",43,"No","false",1487.79999998212,7.30505379774522,90,2894.60000002384,14,1
"63884",18,"Female","Neutral","<p>All metal is urbes.</p><p>Aluminum foil is not urbes.</p>","MT","Valid","Unbelievable","Conflict","7",70,"No","false",4306.70000001788,8.36792722858076,53,3294.59999999404,15,3
"63884",18,"Female","Neutral","<p>All krirks need air.</p><p>Daisies are krirks.</p>","MP","Valid","Believable","No-conflict","5",55,"Yes","true",1608.20000001788,7.38287082012517,90,1943.69999998808,16,8
"63884",18,"Female","Neutral","<p>All mammals can jaut.</p><p>Birds can jaut.</p>","AC","Invalid","Unbelievable","No-conflict","2",62,"No","true",2219.19999998808,7.7049020495552,37,1884.09999999404,17,2
"63884",18,"Female","Neutral","<p>All vehicles have phrods.</p><p>Trolley suitcases have phrods.</p>","AC","Invalid","Unbelievable","No-conflict","1",122,"No","true",5453.89999997616,8.60408622806622,97,3676.5,18,1
"63884",18,"Female","Neutral","<p>All things made of metal kring.</p><p>Diamonds kring.</p>","AC","Invalid","Unbelievable","No-conflict","3",98,"Yes","false",1862.20000001788,7.52951386346403,62,1822.69999998808,19,7
"63884",18,"Female","Neutral","<p>All joughts are green.</p><p>Mushrooms are not joughts.</p>","DA","Invalid","Believable","Conflict","6",53,"No","true",5089.69999998808,8.53497416870898,43,3425.90000000596,20,3
"63884",18,"Female","Neutral","<p>All glass objects are sarky.</p><p>Sofas are not sarky.</p>","MT","Valid","Believable","No-conflict","8",37,"No","false",3054.90000000596,8.02450213784768,65,2571.80000001192,21,3
"63884",18,"Female","Neutral","<p>All skoges have legs.</p><p>Snakes are skoges.</p>","MP","Valid","Unbelievable","Conflict","5",86,"No","false",3273.80000001192,8.0937066687139,89,2024.09999999404,22,0
"63884",18,"Female","Neutral","<p>All humans have frelns.</p><p>Amputees don't have frelns.</p>","MT","Valid","Unbelievable","Conflict","3",46,"No","false",3135.59999999404,8.05057582231267,66,3351.30000001192,23,0
"63884",18,"Female","Neutral","<p>All suldes have skin.</p><p>Newborns are suldes.</p>","MP","Valid","Believable","No-conflict","8",94,"Yes","true",5910,8.68440111040014,77,2105.5,24,10
