item_id,n_observations,mean_residual,residual_sd,mean_absolute_residual,max_absolute_standardized_residual,rate_abs_standardized_residual_gt_2
77,70,-0.003413455630481873,18.341267063135817,12.585920146240323,4.174502041463958,0.05714285714285714
114,71,-0.4842033431539155,17.438881292621126,12.575419525258289,3.8376691347046705,0.08450704225352113
91,71,0.25393651830294345,18.44018712355552,12.570634912526321,4.624801402955844,0.056338028169014086
24,70,0.5003454011671165,17.517128003047098,12.45603522918473,2.888904310046214,0.1
53,70,-1.5878798974626753,17.934394442191156,12.282077444866387,3.8175459168534776,0.1
70,70,-1.1937037360022569,18.557873246453024,12.182148303635541,5.5474994113404374,0.04285714285714286
122,70,-0.8912860471983027,18.017183329374813,12.12857018051497,4.187801674594946,0.05714285714285714
79,71,0.7337155489706895,18.458375474788582,12.114684320784617,5.558087047931992,0.04225352112676056
29,71,1.1526890648287038,19.688022952623662,12.106657908967277,5.2369870823114315,0.04225352112676056
109,70,0.0672719735333804,18.32977614586645,12.091648841860245,3.7636790508300106,0.08571428571428572
16,71,1.0151037306879536,18.149488250468767,12.049246308902738,3.985465798456633,0.08450704225352113
106,71,-0.5983116178495744,16.58986142393175,11.976449905164868,3.231556373258953,0.07042253521126761
81,71,0.251174511470518,16.291730618484248,11.942300421744557,3.1980359212700704,0.07042253521126761
105,71,0.05484627472786065,16.13825302534726,11.933946305831304,2.643284503162234,0.056338028169014086
19,70,1.5599081858704829,16.2636652951393,11.82297152933378,3.0895792001975217,0.07142857142857142
31,71,0.2928969504932807,16.794947057478673,11.784631837482532,4.375438686196603,0.028169014084507043
10,70,-0.3822365327950225,17.078838313327285,11.673653613031462,3.8157595188866997,0.08571428571428572
59,70,-2.1082912101551936,18.509403260779006,11.664227024030545,4.660303727551343,0.05714285714285714
71,70,-0.611449833229998,18.735773868964372,11.65882345336062,5.54033626612307,0.05714285714285714
36,71,0.20003046669246802,17.089622272363194,11.64002592724541,5.434230348490474,0.04225352112676056
13,71,-0.2981524706301132,15.81655984406624,11.57863850479299,2.876429087928811,0.04225352112676056
93,70,0.4437781216719293,16.748731275226444,11.550238842137306,3.0172394867563934,0.08571428571428572
83,71,0.07820864212141752,17.28513102246572,11.544362256952075,3.440955929985088,0.07042253521126761
27,71,1.1477206741242536,17.19883505843742,11.482333625290467,4.576141643592563,0.056338028169014086
107,70,-0.08005888413211244,19.135503887875238,11.460874973000857,4.4703244640328785,0.08571428571428572
20,71,0.41791740229933966,17.47402101490477,11.11684613666685,5.244160687384889,0.056338028169014086
41,70,0.7687817107112737,14.979368768793853,11.103987925944573,2.914820353530406,0.02857142857142857
17,71,0.47427569107262013,16.41323329013022,11.099853310020464,4.488120679499772,0.04225352112676056
32,71,1.4482205749168648,15.601651867109753,11.087956331341946,2.6868578716423483,0.04225352112676056
18,71,1.6072866697013997,15.947265396096318,11.083963315597028,3.4981953540654667,0.056338028169014086
87,70,-1.4258217434578593,16.441752938429758,11.011435498295167,3.699261025127242,0.07142857142857142
111,71,1.2351282011381437,16.096554284864332,10.988314674648262,3.261711019849358,0.07042253521126761
116,71,2.427869549062353,16.183992901596966,10.98406009494735,3.7068389507295585,0.056338028169014086
115,71,-0.383597353566216,16.86084067485449,10.979273933285372,4.144839631255726,0.056338028169014086
82,71,0.6123291886510674,15.998927510154212,10.922445933130238,3.9661188558092526,0.04225352112676056
38,70,-0.4543068459349991,15.437437013926882,10.904076948349001,3.6928624844044795,0.04285714285714286
101,71,1.331219284816128,14.446416668134137,10.873661843203644,2.2372064119008623,0.028169014084507043
124,71,-0.3309431249186403,14.38128633566074,10.861682464515306,2.102419386352612,0.028169014084507043
57,71,-0.20355290493536907,14.641961871332363,10.814182392371713,2.4211292392095207,0.028169014084507043
104,70,1.7124314324073908,14.718994925164449,10.810219742982273,2.182100727632228,0.05714285714285714
60,71,-0.5659553987753032,15.063399946963033,10.783670641731934,2.950062724729557,0.04225352112676056
28,71,1.9901906451050164,14.501394756846882,10.766512721372507,2.8944928681848405,0.056338028169014086
84,70,-0.7829649218953046,16.78407027289058,10.685095557222658,3.921400320540526,0.04285714285714286
58,71,-0.12439808785459555,16.024413736823604,10.67861029068073,3.981939187749967,0.056338028169014086
23,71,1.4523969625587292,17.54768907249223,10.651867599279424,5.683718373172395,0.04225352112676056
72,71,-0.8147758487443182,16.075329039961304,10.632103946130204,4.6691269442868695,0.04225352112676056
121,71,-2.6247724436266204,15.34053783250709,10.58395362505058,3.9886146820738624,0.056338028169014086
44,70,0.5459112887660458,16.31534141556677,10.56995368021994,3.864168512954664,0.04285714285714286
49,71,1.3791559948409682,14.786839930418758,10.539248180259628,2.997846081180964,0.056338028169014086
5,71,-0.30301224717016106,14.018628464121305,10.536456047380035,2.805703633437203,0.028169014084507043
90,71,-0.4313814822325975,15.390631817852181,10.53019086075539,3.6152512435700572,0.028169014084507043
67,71,0.2807695562834869,14.897293272352458,10.491521147037373,3.6442379784177925,0.028169014084507043
113,71,-1.2391350511136507,14.860138271851701,10.430648950521102,3.033611598830414,0.056338028169014086
4,70,2.307540534895443,14.71091617034167,10.377755051398294,2.449161930116711,0.04285714285714286
55,70,0.3035775666791188,14.461818290410204,10.321603301420948,3.098183781193937,0.02857142857142857
86,70,1.3153714202085967,14.837700947741544,10.303933089920456,3.2985042221239262,0.04285714285714286
127,70,0.3476663213383722,14.324515471124444,10.303159818340086,2.364326449060423,0.07142857142857142
43,70,3.1867155520590456,14.295810896855025,10.296320399740154,3.4216893259388854,0.04285714285714286
30,70,-0.3000582138674324,14.936284383633298,10.250522873467965,2.9017541929473243,0.04285714285714286
47,70,2.6687758437252365,13.69391943526801,10.230815812696312,2.466735894992266,0.014285714285714285
35,71,1.459622281652365,14.54447902349947,10.186827629661211,3.3934330916337934,0.028169014084507043
14,70,0.6279273520373766,14.652435637681611,10.131674735547854,3.003140507113912,0.04285714285714286
6,71,0.1651138356371199,15.012686359602606,10.109503561325793,3.087170455385697,0.056338028169014086
64,71,0.7893378976526193,14.411129475843188,10.10174448790353,3.5154998347688244,0.04225352112676056
108,70,0.5019068124741214,13.799665250325921,10.086199366218679,2.3801058449336963,0.02857142857142857
45,70,0.73405779210213,14.804873346057763,9.970709226648683,3.2240622503477696,0.04285714285714286
80,71,0.01990427528030691,15.345238952199901,9.9651717131075,3.8016835158050495,0.056338028169014086
97,70,0.6425346645239394,13.744884475570542,9.918309371313843,2.485821723928646,0.04285714285714286
25,70,2.2155445619273433,12.847141465305048,9.663345704090105,2.0727224417785863,0.02857142857142857
7,71,-0.2982970174263953,13.724610263998686,9.650300233549379,3.3520616182984457,0.028169014084507043
26,71,0.4663143936537237,12.45573190932474,9.612670567183907,2.077632433742012,0.014084507042253521
52,70,1.6801407008705573,13.892338174574446,9.572407049006284,3.5005301113260416,0.014285714285714285
39,70,-0.6366686039853455,15.07677258642408,9.540671562345485,3.9225641324018814,0.04285714285714286
11,70,1.0986016612414116,12.955916781754464,9.520460159703832,3.2811854169520074,0.014285714285714285
9,70,2.6869557300866918,12.334118112478981,9.479119873710367,1.9617458400719365,0.0
128,70,-0.22955283951475544,14.231151166058737,9.421054023406962,3.77279324738321,0.02857142857142857
117,70,1.1787303198705745,12.542560815458552,9.356627971985073,2.0948882615599964,0.02857142857142857
126,70,0.6821006644276439,12.842851638363888,9.334455917007832,2.339415689198861,0.014285714285714285
85,70,1.6877303098582825,13.033727519004284,9.299172158916232,2.413208190912633,0.04285714285714286
69,71,0.36126166904900936,11.846033155366753,9.268055540657082,2.2426803327548663,0.014084507042253521
1,70,0.2553598164465525,13.576673704371164,9.162062654503988,2.961556471591185,0.02857142857142857
2,71,1.8244863701984255,12.961580165193133,9.114631147189364,3.2078972177528957,0.028169014084507043
118,70,0.7218643059687491,13.175259488092093,9.113837932212824,2.786389909104172,0.05714285714285714
33,70,0.21799626737148056,14.035380119372325,9.02697177687703,3.5372627989712857,0.04285714285714286
8,71,1.9208236405037094,11.430478991903524,8.851063877374724,1.7114658211845317,0.0
56,70,0.6779695177751768,11.47431105029349,8.74658164520528,2.2323228872340786,0.014285714285714285
88,70,0.3710931798202843,12.592288147244322,8.621503105912183,2.397348947906173,0.02857142857142857
15,71,0.8660467177257856,12.067611373933854,8.51519576690694,2.775622430862407,0.014084507042253521
40,70,0.6121841745645193,11.579404001972353,8.373900110786002,1.829463471318223,0.0
22,71,0.8973300934158752,11.153931700236967,8.351969092540005,2.18543065295762,0.028169014084507043
12,70,0.3544432209078038,12.049974666546913,8.14903242822537,3.4776523332264713,0.014285714285714285
48,71,-0.22216447731998146,11.047769124571637,8.074821957968258,1.9412453741678815,0.0
34,70,0.4988569168128854,10.907751323472375,7.90933773935361,2.2779531492549747,0.014285714285714285
92,70,0.4818614766088956,9.575037897141032,7.179762506149598,1.5221986443392168,0.0
94,70,0.5596461237630186,10.16793313305091,7.175313715692524,2.0752944611059916,0.014285714285714285
